,TICKER
0,ABBV
36,ABEO
40,ABIO
41,ABLX
46,ABUS
51,ACAD
57,ACER
60,ACHN
67,ACHV
68,ACIU
74,ACOR
80,ACRS
89,ACRX
92,ACST
93,ADAP
101,ADIL
102,ADMA
104,ADMP
108,ADMS
113,ADRO
122,ADVM
124,ADXS
132,AERI
134,AEZS
136,AFMD
139,AGEN
146,AGIO
158,AGLE
165,AGN
191,AGRX
192,AGTC
195,AIMT
200,AKAO
203,AKBA
207,AKCA
215,AKTX
219,ALBO
221,ALDR
224,ALDX
228,ALIM
229,ALKS
239,ALLK
243,ALNA
245,ALNY
258,ALPN
259,ALRN
262,ALT
265,ALXN
269,AMAG
274,AMGN
293,AMPE
295,AMPH
298,AMRN
299,AMRX
300,ANAB
305,ANIK
308,ANTH
312,APHB
313,APLS
318,APRI
319,APTO
320,APTX
324,APVO
327,AQST
330,AQXP
334,ARDM
336,ARDS
339,ARDX
343,ARGX
348,ARLZ
350,ARMO
354,ARNA
362,ARPO
364,ARQL
370,ARRY
380,ARWR
385,ASLN
389,ASMB
391,ASND
394,ASNS
395,AST
398,ATHX
402,ATNM
407,ATNX
411,ATOS
416,ATRA
422,ATRS
426,ATXI
427,AUPH
432,AUTL
436,AVDL
441,AVEO
445,AVRO
448,AVXL
450,AXON
456,AXSM
464,AZN
508,AZRX
510,BCLI
511,BCRX
517,BDSI
520,BFRA
524,BGNE
543,BHC
554,BHVN
560,BIIB
581,BIVV
584,BLCM
587,BLPH
591,BLRX
602,BLUE
609,BMRN
619,BMY
658,BNTC
661,BOLD
664,BPMC
672,BPMX
674,BPTH
676,BSTC
681,BTAI
685,BTX
689,BVXV
691,BYSI
694,CALA
703,CANF
708,CAPR
711,CARA
718,CASI
721,CATB
723,CBAY
726,CBIO
728,CBLI
730,CBMG
732,CCXI
737,CDMO
738,CDTX
741,CDXS
742,CELG
788,CERC
792,CERS
795,CFRX
796,CGEN
798,CHMA
801,CHRS
806,CKPT
808,CLBS
810,CLDX
821,CLLS
824,CLRB
826,CLSD
831,CLSN
835,CLVS
846,CMRX
854,CMTA
856,CMTX
858,CNAT
865,CNCE
868,CNST
871,COCP
873,COLL
875,CORI
878,CORT
884,CPRX
888,CRBP
893,CRIS
897,CRMD
899,CRNX
900,CRSP
902,CRVS
904,CTIC
908,CTMX
909,CTRV
912,CTXR
914,CUR
917,CVM
918,CYAD
920,CYCC
924,CYTK
931,CYTR
938,CYTX
942,DARE
943,DBVT
946,DCPH
951,DEPO
953,DERM
956,DFFN
958,DMPI
961,DNLI
963,DOVA
967,DRNA
969,DRRX
978,DVAX
983,EARS
990,EBS
997,ECYT
1002,EDAP
1003,EDGE
1004,EGLT
1007,EGRX
1016,EIDX
1018,EIGR
1025,ENDP
1029,ENTA
1036,ENTX
1038,EOLS
1039,EPZM
1045,ERYP
1050,ESPR
1057,EVFM
1059,EVLO
1061,EVOK
1062,EXAS
1063,EXEL
1078,EYEG
1080,EYEN
1084,EYPT
1085,FATE
1088,FBIO
1094,FCSC
1098,FENC
1099,FGEN
1105,FLKS
1109,FLXN
1114,FOLD
1117,FOMX
1121,FPRX
1127,FTSV
1133,FWP
1134,GALT
1139,GBT
1142,GEMP
1147,GERN
1149,GILD
1182,GLMD
1184,GLPG
1202,GLYC
1205,GNCA
1208,GNMX
1212,GNPX
1213,GSK
1236,GTHX
1243,GTXI
1247,GWPH
1258,HALO
1269,HEB
1270,HRTX
1274,HSGX
1275,HTBX
1278,HZNP
1280,ICPT
1285,IDRA
1291,IFRX
1293,IMDZ
1297,IMGN
1307,IMMP
1309,IMMU
1317,IMRN
1321,IMUC
1322,INCY
1370,INFI
1375,INNT
1377,INO
1386,INSM
1390,INSY
1397,INVA
1402,IONS
1417,IOVA
1420,IPCI
1421,IRWD
1430,ITCI
1436,ITRM
1439,JAGX
1441,JAZZ
1450,JNCE
1451,JNJ
1478,KALA
1482,KALV
1484,KDMN
1490,KERX
1492,KMDA
